,title,tempo,zcr_mean,zcr_var,rmse_mean,rmse_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,contrast_mean,contrast_var,rolloff_mean,rolloff_var,flatness_mean,flatness_var,tempogram_ratio_mean,tempogram_ratio_var,harmonic_mean,harmonic_var,percussive_mean,percussive_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,genre
0,blues.00000.wav,123.046875,0.083044821,0.000766946,0.078266835,0.001292876,1784.122641,129745.4845,2002.412407,85834.41036,20.5232891,76.80119101,3805.72303,901252.9167,0.004495574,3.03E-05,0.492068433,0.016514258,-4.91E-05,0.008172463,-1.06E-05,0.005704438,-113.59882,2569.3694,121.57067,295.8471,-19.162262,235.58444,42.363937,151.03874,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.326061,61.76499,8.802088,51.280754,-3.6699414,41.215897,5.7446756,40.51752,-5.162783,49.784233,0.7517064,52.424534,-1.687854,36.535866,-0.40872997,41.60317,-2.3026767,55.053654,1.2224671,46.94135,blues
1,blues.00001.wav,67.99958882,0.056039809,0.001447521,0.057504068,0.001033867,1530.261767,375915.5085,2038.987608,213905.103,20.67248576,67.86184506,3550.713616,2978310.904,0.002298098,2.35E-05,0.316137654,0.016343832,0.000141281,0.005101334,-0.000179624,0.00306421,-207.52383,7769.1045,123.98514,559.9134,8.94702,572.3363,35.86715,264.7167,2.9095943,279.97607,21.519472,156.3668,-8.556513,200.80203,23.370676,142.56712,-10.103609,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20453,-2.2344916,64.87307,4.220704,73.15042,-6.0106864,52.429462,0.92929417,55.337963,-0.728403,60.231407,0.29687235,48.133213,-0.28243044,51.106014,0.5306445,45.7887,blues
2,blues.00002.wav,161.4990234,0.076291207,0.001006829,0.106055072,0.001335049,1552.832481,156471.011,1747.754087,76295.41346,22.19129198,76.1225978,3042.410115,784130.8744,0.002635016,1.12E-05,0.411813025,0.012489467,-1.82E-06,0.016344344,-2.02E-05,0.007464201,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.391716,-13.664991,106.84102,11.634442,106.52026,-11.778322,65.48225,9.714756,67.84235,-13.125314,57.67196,5.7912464,64.49476,-8.901966,60.390583,-1.0801601,57.69023,-9.226244,36.514374,2.4483044,40.641678,-7.7248397,47.629646,-1.819024,52.393597,-3.4404576,46.6434,-2.2381277,30.65315,blues
3,blues.00003.wav,63.02400915,0.033308863,0.000422759,0.085085132,0.002602144,1070.153418,184366.0094,1596.422565,166551.8443,21.4236211,63.38676322,2184.879029,1493077.849,0.00095489,2.66E-06,0.315470102,0.015939561,3.61E-06,0.019055042,-1.81E-05,0.002711364,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700715,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.26935,6.0780816,48.21452,-2.478445,56.776222,-1.081587,62.243004,-2.8744543,51.60982,0.77399397,44.432903,-3.3240688,50.218452,0.6363106,37.325726,-0.6159676,37.257774,-3.405046,31.965254,blues
4,blues.00004.wav,135.9991776,0.101460539,0.001954125,0.054968707,0.000982865,1835.128513,343249.4957,1748.410759,88378.70449,21.45961803,63.03389242,3579.957471,1572336.299,0.003240217,1.90E-05,0.428109913,0.012260535,-1.85E-05,0.004814488,-9.55E-06,0.003094363,-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03235,22.139256,193.75323,-32.47355,336.4254,10.850701,134.86504,-23.35007,93.29354,0.49324894,124.73352,-11.796539,129.97539,1.2035193,99.71714,-13.084959,80.243164,-2.8104992,86.43649,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.515863,85.99519,-5.451786,75.27674,-0.9159524,53.633236,-4.4080176,62.882492,-11.704385,55.190254,blues
5,blues.00005.wav,69.83741554,0.094041534,0.006233196,0.062390001,0.001615595,1832.011597,1030483.831,1729.580805,201846.0741,22.54261551,66.88354956,3481.467631,3274386.196,0.003058888,4.20E-05,0.309259923,0.015270467,2.11E-06,0.008084326,-2.76E-05,0.003244479,-177.80176,7307.4546,118.20316,3195.2053,-17.57063,654.1079,30.760931,485.68976,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70337,-8.580818,172.22575,-0.9328852,100.121,-11.772245,76.554756,-2.4087636,78.802635,-9.348446,80.10772,-9.942636,47.53443,-3.9021835,60.0207,-5.574562,72.576744,-1.8393143,68.666115,-2.7893167,42.470524,-3.0478048,39.803387,-8.109732,46.282936,blues
6,blues.00006.wav,71.77734375,0.073052237,0.001909171,0.085033174,0.003606863,1459.469691,438024.9981,1389.068446,185156.3212,23.42114999,49.57901696,2795.910729,1621507.81,0.000975644,8.29E-06,0.305095014,0.012189255,-1.17E-05,0.016931476,-2.02E-05,0.005955405,-190.06882,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036217,480.19315,11.093892,1082.9683,-0.5918819,280.1115,-20.890266,151.6834,0.27844238,102.85332,-6.496385,131.09851,-5.5127354,153.40236,-7.847404,87.50639,-3.1243007,64.21006,-6.6028223,79.14686,-9.95,63.038452,-6.5426893,86.344986,-10.0722275,83.25455,-10.918623,56.950497,-6.9652433,38.267097,-3.439432,48.163647,-6.484499,70.21345,blues
7,blues.00007.wav,92.28515625,0.061442246,0.001848816,0.079251991,0.002307537,1451.859414,449601.6407,1577.567116,168197.5995,22.43554729,52.46994715,2955.319717,1629557.414,0.001438775,1.03E-05,0.384527433,0.011590661,1.86E-05,0.013231742,-4.83E-05,0.004836919,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.2087,39.96545,353.4062,5.3108935,650.0896,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91977,-3.470555,178.22743,-8.415842,147.5609,-6.957211,83.71853,-3.5460427,93.2653,-8.051759,57.423862,-8.964918,82.259476,-8.427482,70.46944,-10.5642805,52.018356,-10.785658,60.507183,-4.6954694,65.581085,-8.631641,56.38694,blues
8,blues.00008.wav,83.35433468,0.064024888,0.000731482,0.086180349,0.000736204,1719.463366,163308.433,2031.829366,105565.9243,22.37198971,89.260385,3782.441191,1262984.568,0.002596804,9.28E-06,0.490108787,0.02191718,-1.52E-06,0.012705841,-2.10E-05,0.003465587,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.122135,193.91733,-8.179258,177.07607,20.172466,106.94689,-19.171894,57.659283,23.036839,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535202,-12.730549,61.94805,5.0585384,50.54711,-5.1858063,33.02635,-1.4536041,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232,blues
9,blues.00009.wav,80.74951172,0.079174824,0.001377659,0.049131521,0.001693522,1817.23059,298141.4244,1973.792039,114140.1445,21.15661982,63.30320877,3943.831966,1366784.347,0.002710847,1.03E-05,0.505416763,0.011390551,-4.36E-06,0.007221093,-2.42E-05,0.001677149,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93393,-20.34833,531.99756,13.082702,278.2447,-9.182701,126.45182,9.017152,67.96417,-14.104312,110.09561,4.2712545,92.60268,-6.0507803,84.85938,3.7858355,104.41364,0.22263557,76.34565,-5.1068816,85.42631,-0.41015333,103.98576,-1.1793448,59.323414,-1.9147079,58.461433,-2.2936609,83.12304,2.8842604,77.04225,-4.233879,91.44655,blues
